userID,years_exp_total,number_of_employers,years_exp_relevant,degree_ba,degree_ms,degree_phd,internal_reference,external_web_indeed,external_web_glassdoor,success
99, 3, 4, 0, 0, 0, 0, 1, 0, 0, 0
100, 8, 1, 3, 1, 0, 0, 0, 1, 0, 0
101, 13, 2, 3, 1, 0, 0, 1, 0, 0, 1
102, 12, 1, 4, 1, 1, 0, 1, 0, 0, 1
103, 12, 1, 11, 1, 0, 0, 0, 0, 1, 1
104, 13, 2, 10, 1, 0, 0, 0, 1, 0, 1
105, 3, 2, 3, 1, 0, 0, 1, 0, 0, 1
106, 12, 1, 3, 1, 0, 0, 1, 0, 0, 0
107, 14, 1, 6, 1, 0, 0, 1, 0, 0, 1
108, 2, 3, 1, 1, 0, 0, 1, 0, 0, 0
109, 7, 2, 7, 1, 0, 0, 1, 0, 0, 1
110, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0
111, 5, 2, 0, 1, 0, 0, 1, 0, 0, 0
112, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0
113, 10, 1, 6, 1, 0, 0, 1, 0, 0, 1
114, 8, 1, 8, 1, 0, 0, 1, 0, 0, 1
115, 10, 3, 0, 0, 0, 0, 0, 0, 1, 0
116, 7, 4, 1, 1, 0, 0, 1, 0, 0, 0
117, 14, 1, 13, 1, 0, 0, 1, 0, 0, 1
118, 7, 4, 0, 1, 0, 0, 1, 0, 0, 0
119, 4, 1, 2, 1, 0, 0, 0, 0, 1, 0
120, 8, 1, 1, 1, 0, 0, 1, 0, 0, 0
121, 6, 1, 2, 1, 0, 0, 1, 0, 0, 1
122, 11, 4, 0, 1, 0, 0, 0, 1, 0, 0
123, 4, 1, 4, 0, 0, 0, 1, 0, 0, 1
124, 1, 2, 0, 1, 0, 0, 1, 0, 0, 0
125, 3, 4, 0, 1, 0, 0, 1, 0, 0, 0
126, 1, 2, 0, 1, 1, 1, 1, 0, 0, 0
127, 13, 2, 6, 1, 0, 0, 0, 0, 1, 0
128, 11, 2, 3, 1, 0, 0, 1, 0, 0, 1
129, 1, 2, 0, 1, 0, 0, 0, 1, 0, 1
130, 8, 1, 1, 1, 0, 0, 1, 0, 0, 0
131, 3, 4, 0, 1, 1, 0, 1, 0, 0, 0
132, 1, 2, 0, 1, 0, 0, 1, 0, 0, 0
133, 11, 4, 1, 1, 0, 0, 1, 0, 0, 0
134, 13, 2, 0, 1, 0, 0, 1, 0, 0, 1
135, 7, 4, 3, 1, 0, 0, 1, 0, 0, 0
136, 1, 2, 0, 1, 0, 0, 1, 0, 0, 0
137, 13, 2, 0, 1, 0, 0, 0, 0, 1, 0
138, 13, 2, 2, 1, 1, 0, 1, 0, 0, 1
139, 10, 3, 5, 1, 1, 0, 1, 0, 0, 0
140, 5, 2, 3, 1, 0, 0, 1, 0, 0, 1
141, 10, 3, 1, 1, 0, 0, 1, 0, 0, 0
142, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0
143, 13, 2, 6, 1, 0, 0, 1, 0, 0, 0
144, 1, 2, 0, 1, 0, 0, 0, 0, 1, 1
145, 7, 2, 4, 1, 0, 0, 1, 0, 0, 1
146, 12, 1, 0, 1, 1, 0, 1, 0, 0, 0
147, 8, 1, 2, 1, 0, 0, 1, 0, 0, 0
148, 9, 2, 4, 1, 0, 0, 1, 0, 0, 1
149, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1
150, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1
151, 1, 2, 1, 1, 1, 0, 0, 0, 1, 1
152, 13, 2, 0, 1, 1, 0, 0, 1, 0, 1
153, 7, 2, 6, 1, 0, 0, 0, 1, 0, 1
154, 6, 1, 4, 1, 1, 0, 0, 0, 1, 1
155, 3, 2, 2, 1, 0, 0, 0, 0, 1, 1
156, 7, 4, 1, 1, 0, 0, 0, 1, 0, 0
157, 5, 2, 1, 1, 0, 0, 1, 0, 0, 0
158, 5, 2, 1, 1, 1, 0, 1, 0, 0, 1
159, 6, 3, 3, 1, 0, 0, 0, 0, 1, 0
160, 5, 2, 1, 1, 0, 0, 0, 1, 0, 0
161, 3, 2, 2, 1, 0, 0, 1, 0, 0, 1
162, 11, 2, 1, 1, 0, 0, 1, 0, 0, 1
163, 5, 2, 2, 1, 1, 0, 0, 1, 0, 0
164, 5, 2, 1, 1, 0, 0, 1, 0, 0, 1
165, 10, 1, 6, 1, 0, 0, 1, 0, 0, 1
166, 12, 1, 5, 0, 0, 0, 1, 0, 0, 0
167, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0
168, 5, 2, 2, 1, 0, 0, 1, 0, 0, 0
169, 1, 2, 0, 1, 0, 0, 1, 0, 0, 1
170, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0
171, 10, 3, 3, 1, 0, 0, 0, 1, 0, 0
172, 11, 2, 3, 1, 1, 0, 1, 0, 0, 1
173, 2, 1, 1, 1, 0, 0, 1, 0, 0, 1
174, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0
175, 12, 1, 6, 1, 0, 0, 1, 0, 0, 0
176, 5, 2, 3, 1, 0, 0, 1, 0, 0, 1
177, 11, 2, 11, 1, 1, 0, 0, 0, 1, 1
178, 12, 1, 2, 1, 0, 0, 0, 1, 0, 0
179, 14, 1, 11, 1, 0, 0, 0, 0, 1, 1
180, 11, 4, 3, 1, 0, 0, 1, 0, 0, 0
181, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1
182, 5, 2, 1, 1, 0, 0, 0, 0, 1, 0
183, 4, 1, 1, 1, 0, 0, 1, 0, 0, 0
184, 6, 3, 2, 1, 0, 0, 0, 0, 1, 0
185, 2, 1, 2, 1, 0, 0, 0, 0, 1, 1
186, 3, 2, 2, 1, 0, 0, 1, 0, 0, 1
187, 3, 4, 0, 1, 0, 0, 1, 0, 0, 0
188, 10, 1, 3, 1, 1, 0, 0, 0, 1, 1
189, 7, 2, 0, 1, 0, 0, 0, 1, 0, 1
190, 8, 1, 7, 1, 0, 0, 1, 0, 0, 1
191, 14, 1, 8, 1, 0, 0, 1, 0, 0, 1
192, 6, 1, 5, 1, 0, 0, 1, 0, 0, 1
193, 10, 3, 1, 1, 0, 0, 0, 0, 1, 0
194, 13, 2, 0, 1, 0, 0, 1, 0, 0, 1
195, 6, 3, 3, 1, 0, 0, 1, 0, 0, 0
196, 5, 2, 1, 1, 0, 0, 1, 0, 0, 0
197, 7, 2, 7, 1, 0, 0, 1, 0, 0, 1
198, 1, 2, 0, 1, 1, 0, 0, 1, 0, 1
199, 8, 1, 8, 1, 0, 0, 0, 0, 1, 1
200, 12, 1, 0, 1, 0, 0, 1, 0, 0, 1
201, 6, 1, 3, 1, 0, 0, 1, 0, 0, 1
202, 1, 2, 1, 1, 0, 0, 1, 0, 0, 1
203, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0
204, 12, 1, 5, 1, 1, 0, 1, 0, 0, 1
205, 5, 2, 3, 1, 0, 0, 0, 0, 1, 1
206, 2, 1, 0, 1, 1, 0, 1, 0, 0, 1
207, 2, 3, 1, 1, 0, 0, 1, 0, 0, 0
208, 2, 3, 1, 1, 0, 0, 0, 1, 0, 0
209, 11, 2, 2, 1, 1, 1, 1, 0, 0, 1
210, 11, 4, 2, 1, 0, 0, 0, 1, 0, 0
211, 2, 3, 1, 1, 0, 0, 1, 0, 0, 0
212, 9, 2, 6, 1, 0, 0, 1, 0, 0, 1
213, 4, 1, 4, 1, 0, 0, 1, 0, 0, 1
214, 8, 1, 4, 1, 0, 0, 0, 1, 0, 0
215, 6, 3, 3, 1, 0, 0, 0, 1, 0, 0
216, 4, 1, 2, 1, 0, 0, 1, 0, 0, 0
217, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1
218, 2, 3, 1, 1, 0, 0, 1, 0, 0, 0
219, 5, 2, 1, 1, 1, 0, 1, 0, 0, 1
220, 1, 2, 1, 1, 1, 0, 1, 0, 0, 1
221, 10, 3, 3, 1, 0, 0, 1, 0, 0, 0
222, 12, 1, 0, 1, 0, 0, 0, 0, 1, 0
223, 11, 4, 3, 1, 0, 0, 1, 0, 0, 0
224, 7, 4, 1, 1, 0, 0, 0, 1, 0, 0
225, 12, 1, 1, 1, 0, 0, 0, 1, 0, 0
226, 11, 4, 2, 1, 0, 0, 1, 0, 0, 0
227, 1, 2, 0, 1, 0, 0, 1, 0, 0, 1
228, 7, 2, 3, 1, 0, 0, 1, 0, 0, 1
229, 10, 1, 1, 1, 0, 0, 1, 0, 0, 1
230, 2, 1, 2, 1, 1, 0, 0, 1, 0, 1
231, 8, 1, 3, 1, 1, 0, 0, 1, 0, 0
232, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1
233, 7, 2, 1, 1, 0, 0, 1, 0, 0, 1
234, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1
235, 9, 2, 1, 1, 0, 0, 1, 0, 0, 1
236, 4, 1, 1, 1, 0, 0, 0, 1, 0, 1
237, 12, 1, 5, 1, 0, 0, 0, 1, 0, 0
238, 11, 2, 6, 1, 0, 0, 1, 0, 0, 1
239, 11, 2, 2, 1, 0, 0, 0, 1, 0, 1
240, 4, 1, 2, 1, 0, 0, 1, 0, 0, 0
241, 11, 4, 0, 1, 1, 0, 0, 0, 1, 0
242, 6, 1, 4, 1, 0, 0, 1, 0, 0, 1
243, 5, 2, 1, 1, 0, 0, 0, 1, 0, 0
244, 6, 1, 4, 1, 1, 0, 1, 0, 0, 1
245, 5, 2, 2, 1, 1, 0, 1, 0, 0, 0
246, 2, 3, 0, 1, 0, 0, 1, 0, 0, 0
247, 5, 2, 0, 1, 0, 0, 0, 0, 1, 0
248, 7, 4, 0, 1, 0, 0, 1, 0, 0, 0
249, 1, 2, 0, 1, 0, 0, 1, 0, 0, 0
